sensor,channel,scan_start,scan_end,signal_start,signal_end,execution_time,save_time
PA00,HHE,2021-09-16 01:20:00,2021-09-17 01:20:00,2021-09-16 14:42:48.11,2021-09-16 14:42:52.22,0.53,2025-04-21 14:56:47
PA00,HHE,2021-09-16 14:42:52,2021-09-19 01:20:00,2021-09-16 14:42:52.22,2021-09-19 01:20:00.0,0.7927,2025-04-21 14:59:20
PA00,HHE,2021-09-19 01:20:00,2021-09-19 08:20:00,2021-09-19 01:20:00.0,2021-09-19 08:20:00.0,0.7422,2025-04-21 17:33:38
