file_id,sensor,channel,type,starttime,endtime,window,overlap,windowing,n_windows,n_variables,low_filter,high_filter,nsamples,srate,trend_removed,coherent_noise_removed,save_time
40,PPMA,HHN,FFT,2021-09-17,2021-09-18,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:17:42.917069
41,PPMA,HHE,FFT,2021-09-17,2021-09-18,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:17:50.649890
42,PPMA,HHZ,FFT,2021-09-17,2021-09-18,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:17:58.422310
43,PLPI,HHN,FFT,2021-09-18,2021-09-19,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:18:06.459600
44,PLPI,HHE,FFT,2021-09-18,2021-09-19,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:18:14.474171
45,PLPI,HHZ,FFT,2021-09-18,2021-09-19,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:18:22.537097
46,PPMA,HHN,FFT,2021-09-18,2021-09-19,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:18:30.352786
47,PPMA,HHE,FFT,2021-09-18,2021-09-19,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:18:38.054244
48,PPMA,HHZ,FFT,2021-09-18,2021-09-19,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:18:45.995475
49,PLPI,HHN,FFT,2021-09-19,2021-09-20,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:18:53.770712
50,PLPI,HHE,FFT,2021-09-19,2021-09-20,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:01.532520
51,PLPI,HHZ,FFT,2021-09-19,2021-09-20,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:09.332759
52,PPMA,HHN,FFT,2021-09-19,2021-09-20,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:17.232936
53,PPMA,HHE,FFT,2021-09-19,2021-09-20,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:25.070583
54,PPMA,HHZ,FFT,2021-09-19,2021-09-20,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:33.094393
55,PLPI,HHN,FFT,2021-09-20,2021-09-21,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:40.876663
56,PLPI,HHE,FFT,2021-09-20,2021-09-21,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:48.713359
57,PLPI,HHZ,FFT,2021-09-20,2021-09-21,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:56.531756
58,PPMA,HHN,FFT,2021-09-20,2021-09-21,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:04.356850
59,PPMA,HHE,FFT,2021-09-20,2021-09-21,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:12.140155
60,PPMA,HHZ,FFT,2021-09-20,2021-09-21,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:19.985660
