file_id,network,sensor,channel,type,starttime,endtime,window,overlap,windowing,n_windows,n_variables,missing_rate,low_filter,high_filter,nsamples,srate,trend_removed,coherent_noise_removed,save_time
74,C7,PLPI,HHE,FFT,2021-09-23 00:00:00.00,2021-09-24 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:09.00
75,C7,PLPI,HHZ,FFT,2021-09-23 00:00:00.00,2021-09-24 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:17.00
76,C7,PPMA,HHN,FFT,2021-09-23 00:00:00.00,2021-09-24 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:25.00
77,C7,PPMA,HHE,FFT,2021-09-23 00:00:00.00,2021-09-24 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:33.00
78,C7,PPMA,HHZ,FFT,2021-09-23 00:00:00.00,2021-09-24 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:41.00
79,C7,PLPI,HHN,FFT,2021-09-24 00:00:00.00,2021-09-25 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:49.00
80,C7,PLPI,HHE,FFT,2021-09-24 00:00:00.00,2021-09-25 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:56.00
81,C7,PLPI,HHZ,FFT,2021-09-24 00:00:00.00,2021-09-25 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:04.00
82,C7,PPMA,HHN,FFT,2021-09-24 00:00:00.00,2021-09-25 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:12.00
83,C7,PPMA,HHE,FFT,2021-09-24 00:00:00.00,2021-09-25 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:19.00
84,C7,PPMA,HHZ,FFT,2021-09-24 00:00:00.00,2021-09-25 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:27.00
85,C7,PLPI,HHN,FFT,2021-09-25 00:00:00.00,2021-09-26 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:35.00
86,C7,PLPI,HHE,FFT,2021-09-25 00:00:00.00,2021-09-26 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:42.00
87,C7,PLPI,HHZ,FFT,2021-09-25 00:00:00.00,2021-09-26 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:50.00
88,C7,PPMA,HHN,FFT,2021-09-25 00:00:00.00,2021-09-26 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:58.00
89,C7,PPMA,HHE,FFT,2021-09-25 00:00:00.00,2021-09-26 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:06.00
90,C7,PPMA,HHZ,FFT,2021-09-25 00:00:00.00,2021-09-26 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:13.00
91,C7,PLPI,HHN,FFT,2021-09-26 00:00:00.00,2021-09-27 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:21.00
92,C7,PLPI,HHE,FFT,2021-09-26 00:00:00.00,2021-09-27 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:29.00
93,C7,PLPI,HHZ,FFT,2021-09-26 00:00:00.00,2021-09-27 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:36.00
94,C7,PPMA,HHN,FFT,2021-09-26 00:00:00.00,2021-09-27 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:44.00
95,C7,PPMA,HHE,FFT,2021-09-26 00:00:00.00,2021-09-27 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:52.00
96,C7,PPMA,HHZ,FFT,2021-09-26 00:00:00.00,2021-09-27 00:00:00.00,3600.0,0.0,False,24,5400,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:59.00
97,C7,PLPI,HHN,FFT,2021-09-12 00:00:00.00,2021-09-13 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:46:25.00
98,C7,PLPI,HHE,FFT,2021-09-12 00:00:00.00,2021-09-13 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:46:33.00
99,C7,PLPI,HHZ,FFT,2021-09-12 00:00:00.00,2021-09-13 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:46:41.00
100,C7,PPMA,HHN,FFT,2021-09-12 00:00:00.00,2021-09-13 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:46:49.00
