network,sensor,channel,latest_file,start_time,latest_pull_time
C7,PA03,HHN,C7.PA03..HHN.D.2021.263,2021-09-20T00:00:00Z,2025-06-12 23:08:32
C7,PA03,HHZ,C7.PA03..HHZ.D.2021.263,2021-09-20T00:00:00Z,2025-06-12 23:08:27
C7,PCOR,HHN,C7.PCOR..HHN.D.2021.263,2021-09-20T00:00:00Z,2025-06-12 23:08:44
C7,PCOR,HHZ,C7.PCOR..HHZ.D.2021.263,2021-09-20T00:00:00Z,2025-06-12 23:08:38
C7,PLPI,HHN,C7.PLPI..HHN.D.2021.263,2021-09-20T00:00:00Z,2025-06-12 22:47:05
C7,PLPI,HHZ,C7.PLPI..HHZ.D.2021.263,2021-09-20T00:00:00Z,2025-06-12 22:46:57
C7,PPMA,HHN,C7.PPMA..HHN.D.2021.263,2021-09-20T00:00:00Z,2025-06-12 22:46:49
C7,PPMA,HHZ,C7.PPMA..HHZ.D.2021.263,2021-09-20T00:00:00Z,2025-06-12 22:46:40
